,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,成交额(万),总市值(万),流通市值(万),所在地域,所属行业,上市日期
248,300508.SZ,维宏股份,34.32,0.63,1.87,29341.0,6.08,35.58,33.53,33.58,33.69,1.4,5.18,41.54,5.63,10150.36,374411.98,194343.87,上海,软件服务,20160419
249,301196.SZ,唯科科技,37.11,0.68,1.87,44644.0,4.67,37.76,36.06,36.4,36.43,2.48,11.76,35.71,1.59,16553.36,463132.8,140832.45,福建,专用机械,20220111
250,002621.SZ,美吉姆,3.83,0.07,1.86,185556.0,3.99,3.9,3.75,3.78,3.76,1.77,2.31,-62.69,6.86,7099.6,314917.13,307265.44,辽宁,文教休闲,20110929
251,002526.SZ,山东矿机,2.75,0.05,1.85,1528662.0,6.67,2.85,2.67,2.7,2.7,0.78,8.68,27.47,1.68,42186.79,490268.3,484249.39,山东,工程机械,20101217
252,002293.SZ,罗莱生活,11.56,0.21,1.85,33254.0,3.52,11.7,11.3,11.35,11.35,2.2,0.4,13.71,2.53,3837.62,970904.61,955465.48,江苏,纺织,20090910
253,000676.SZ,智度股份,6.61,0.12,1.85,336973.0,5.08,6.8,6.47,6.53,6.49,1.43,2.64,43.49,2.4,22329.58,843771.11,842658.68,广东,互联网,19961224
254,001318.SZ,阳光乳业,13.81,0.25,1.84,49235.0,3.91,14.12,13.59,13.6,13.56,4.35,6.96,44.49,3.14,6807.35,390353.46,97636.7,江西,乳制品,20220520
255,601007.SH,金陵饭店,8.93,0.16,1.82,123652.0,3.42,9.05,8.75,8.77,8.77,3.48,3.17,87.6,2.26,11044.8,348270.0,348270.0,江苏,酒店餐饮,20070406
256,300947.SZ,德必集团,15.7,0.28,1.82,88860.0,5.58,16.36,15.5,15.5,15.42,3.95,9.32,243.14,1.86,14089.3,241157.65,149611.2,上海,房产服务,20210210
257,000915.SZ,华特达因,35.0,0.62,1.8,39990.0,2.97,35.82,34.8,34.8,34.38,2.01,1.71,12.74,3.02,14104.53,820160.2,819725.32,山东,化学制药,19990609
258,000408.SZ,藏格矿业,23.81,0.42,1.8,118344.0,3.46,24.16,23.35,23.39,23.39,2.54,0.75,10.22,3.74,28264.54,3763015.91,3763015.91,青海,农药化肥,19960628
259,603978.SH,深圳新星,18.16,0.32,1.79,33393.0,6.11,18.97,17.88,17.88,17.84,2.91,2.01,-55.92,1.88,6141.2,301374.46,301374.46,深圳,小金属,20170807
260,000761.SZ,本钢板材,3.99,0.07,1.79,194811.0,5.1,4.11,3.91,3.93,3.92,1.99,0.53,86.23,0.92,7837.86,1639177.68,1479577.68,辽宁,普钢,19980115
261,000683.SZ,远兴能源,7.42,0.13,1.78,682755.0,3.43,7.6,7.35,7.49,7.29,2.66,2.08,10.31,2.11,50974.33,2687344.85,2431407.71,内蒙,化工原料,19970131
262,000501.SZ,武商集团,9.75,0.17,1.77,164229.0,2.71,9.87,9.61,9.61,9.58,1.3,2.14,14.22,0.69,16068.57,749767.91,748871.31,湖北,百货,19921120
263,002419.SZ,天虹股份,6.31,0.11,1.77,316114.0,2.58,6.36,6.2,6.22,6.2,3.67,2.71,8.86,1.76,19945.41,737542.93,737343.99,深圳,百货,20100601
264,000608.SZ,阳光股份,2.87,0.05,1.77,125151.0,3.19,2.89,2.8,2.82,2.82,2.05,1.67,-45.55,0.8,3578.34,215225.12,215225.12,广西,区域地产,19960919
265,600381.SH,青海春天,8.04,0.14,1.77,98755.0,3.04,8.14,7.9,7.9,7.9,2.85,1.68,-41.09,3.14,7934.33,471996.84,471996.84,青海,医疗保健,20010508
266,688598.SH,金博股份,116.64,2.01,1.75,12009.0,4.62,118.32,113.02,114.08,114.63,0.88,0.86,34.4,2.67,13929.6,1623974.28,1623974.28,湖南,矿物制品,20200518
267,603031.SH,安孚科技,48.47,0.83,1.74,8925.0,1.89,48.78,47.88,48.3,47.64,3.4,0.8,30.27,8.87,4314.01,542864.0,542864.0,安徽,电气设备,20160822
268,688147.SH,微导纳米,54.99,0.94,1.74,24658.0,5.16,55.8,53.01,54.58,54.05,1.13,5.86,-5736.75,12.74,13510.15,2499050.02,231506.05,江苏,专用机械,20221223
269,688114.SH,华大智造,93.13,1.59,1.74,4183.0,3.79,94.37,90.9,92.36,91.54,0.61,1.2,-64.59,4.24,3885.76,3870833.19,323344.49,深圳,医疗保健,20220909
270,002271.SZ,东方雨虹,27.61,0.47,1.73,631299.0,4.27,28.3,27.14,27.14,27.14,2.23,3.18,45.09,2.58,176040.28,6953479.63,5483891.77,北京,其他建材,20080910
271,000514.SZ,渝 开 发,4.13,0.07,1.72,212866.0,2.96,4.18,4.06,4.07,4.06,2.74,2.52,-43.47,0.96,8778.64,348477.41,348477.41,重庆,区域地产,19930712
272,002279.SZ,久其软件,6.51,0.11,1.72,416421.0,6.88,6.79,6.35,6.38,6.4,0.88,5.28,-17.19,3.36,27415.09,563615.37,513029.77,北京,软件服务,20090811
273,600127.SH,金健米业,7.74,0.13,1.71,321119.0,4.2,7.97,7.65,7.7,7.61,1.55,5.0,125.2,7.36,24983.76,496740.21,496740.21,湖南,农业综合,19980506
274,003005.SZ,竞业达,29.42,0.49,1.69,40054.0,5.77,30.3,28.63,28.94,28.93,2.0,7.85,-78.99,2.98,11820.2,436592.8,150170.83,北京,软件服务,20200922
275,300740.SZ,水羊股份,15.65,0.26,1.69,104350.0,3.44,15.92,15.39,15.4,15.39,1.9,2.93,29.23,3.46,16416.98,609512.47,557219.04,湖南,日用化工,20180208
276,600600.SH,青岛啤酒,96.0,1.58,1.67,83196.0,4.23,98.0,94.01,94.2,94.42,1.64,1.19,22.56,4.85,80207.85,13096634.78,6723549.24,山东,啤酒,19930827
277,603398.SH,沐邦高科,24.4,0.4,1.67,29586.0,3.46,24.83,24.0,24.0,24.0,1.19,0.86,62.11,11.15,7258.31,836028.2,836028.2,江西,电气设备,20151209
278,000972.SZ,中基健康,3.67,0.06,1.66,99892.0,3.6,3.73,3.6,3.63,3.61,1.77,1.3,41.92,25.23,3681.35,283061.07,283061.07,新疆,食品,20000926
279,002255.SZ,海陆重工,6.12,0.1,1.66,502126.0,4.49,6.26,5.99,6.02,6.02,3.14,7.73,35.76,1.46,30943.37,515469.89,397409.69,江苏,专用机械,20080625
280,000417.SZ,合肥百货,5.54,0.09,1.65,556516.0,8.07,5.92,5.48,5.6,5.45,1.2,7.14,11.18,1.01,31158.22,432055.85,431581.21,安徽,百货,19960812
281,002569.SZ,ST步森,5.56,0.09,1.65,10409.0,4.02,5.68,5.46,5.47,5.47,2.64,0.74,-97.5,5.09,582.58,80069.56,77734.67,浙江,服饰,20110412
282,605389.SH,长龄液压,29.17,0.47,1.64,34910.0,3.03,29.25,28.38,28.58,28.7,1.92,10.25,37.58,2.17,10112.43,397490.14,99372.74,江苏,机械基件,20210322
283,300685.SZ,艾德生物,23.61,0.38,1.64,20368.0,3.62,24.04,23.2,23.34,23.23,1.65,0.51,41.0,6.31,4825.44,940047.58,938613.27,福建,医疗保健,20170802
284,688156.SH,路德环境,28.29,0.45,1.62,11312.0,3.27,28.8,27.89,28.04,27.84,0.99,1.59,193.53,3.21,3202.06,284920.35,201664.02,湖北,环境保护,20200922
285,002850.SZ,科达利,122.6,1.95,1.62,17049.0,2.73,123.8,120.51,120.66,120.65,0.69,1.08,29.94,5.05,20950.51,2892251.05,1938736.11,深圳,电气设备,20170302
286,002366.SZ,融发核电,6.3,0.1,1.61,264409.0,4.84,6.48,6.18,6.2,6.2,1.78,2.95,-299.76,2.87,16716.39,1310990.71,565452.84,四川,专用机械,20100312
287,603709.SH,中源家居,16.68,0.26,1.58,14187.0,3.41,16.78,16.22,16.42,16.42,1.0,1.48,67.15,2.78,2354.04,160128.0,160128.0,浙江,家居用品,20180208
288,600361.SH,创新新材,5.16,0.08,1.57,64495.0,2.56,5.2,5.07,5.1,5.08,1.85,1.38,19.43,2.6,3325.89,2065856.88,241520.49,北京,铝,20011129
289,600290.SH,*ST华仪,1.29,0.02,1.57,94426.0,3.94,1.31,1.26,1.27,1.27,1.09,1.24,-4.13,-4.79,1214.62,98027.55,98027.55,浙江,电气设备,20001106
