,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名,第11名,第12名,第13名,第14名,第15名,第16名,第17名,第18名,第19名,第20名,第21名,第22名,第23名,第24名,第25名,第26名,第27名,第28名,第29名,第30名
37,2023-03-31,寒武纪-U,上海电影,昆仑万维,中文在线,创业黑马,盛天网络,返利科技,朗科科技,容大感光,中际旭创,同花顺,青云科技-U,云从科技-UW,剑桥科技,光云科技,蓝色光标,金山办公,景嘉微,石基信息,姚记科技,万辰生物,金桥信息,工业富联,东方国信,成都先导,三六零,青木股份,新易盛,凌志软件,值得买
38,2023-04-03,寒武纪-U,昆仑万维,上海电影,中文在线,同花顺,剑桥科技,创业黑马,中际旭创,青云科技-U,云从科技-UW,容大感光,返利科技,新易盛,光云科技,景嘉微,盛天网络,金山办公,蓝色光标,三六零,朗科科技,富春股份,久远银海,神州泰岳,芯原股份,工业富联,石基信息,青木股份,四川长虹,值得买,漫步者
39,2023-04-04,寒武纪-U,剑桥科技,昆仑万维,新易盛,容大感光,上海电影,返利科技,中际旭创,同花顺,云从科技-UW,久远银海,易华录,三六零,景嘉微,青云科技-U,光云科技,盛天网络,中文在线,金山办公,神州泰岳,创业黑马,芯原股份,富春股份,美亚柏科,大华股份,新五丰,漫步者,工业富联,姚记科技,朗科科技
40,2023-04-06,寒武纪-U,昆仑万维,新易盛,久远银海,剑桥科技,上海电影,云从科技-UW,中际旭创,同花顺,返利科技,工业富联,新五丰,富春股份,景嘉微,兆龙互连,天孚通信,容大感光,美亚柏科,山大地纬,易华录,福晶科技,三六零,沪电股份,全志科技,姚记科技,大华股份,创业黑马,盛天网络,漫步者,神州泰岳
41,2023-04-07,寒武纪-U,新易盛,久远银海,剑桥科技,昆仑万维,云从科技-UW,中际旭创,上海电影,同花顺,中文在线,神州泰岳,山大地纬,富春股份,福晶科技,景嘉微,盛天网络,返利科技,天孚通信,新五丰,易华录,大华股份,光云科技,创业黑马,姚记科技,工业富联,三六零,漫步者,芯原股份,美亚柏科,兆龙互连
42,2023-04-10,新易盛,寒武纪-U,上海电影,剑桥科技,久远银海,中际旭创,昆仑万维,中文在线,云从科技-UW,神州泰岳,兆龙互连,金桥信息,同花顺,返利科技,新五丰,盛天网络,姚记科技,富春股份,大华股份,果麦文化,福晶科技,天孚通信,工业富联,新华网,深科技,山大地纬,恺英网络,沪电股份,博创科技,光云科技
43,2023-04-11,上海电影,新易盛,中文在线,寒武纪-U,剑桥科技,久远银海,中际旭创,果麦文化,兆龙互连,昆仑万维,姚记科技,神州泰岳,金桥信息,盛天网络,博创科技,新华网,同花顺,思特威-W,富春股份,云从科技-UW,每日互动,美亚柏科,首都在线,上海钢联,奥飞娱乐,华中数控,新五丰,深科技,天孚通信,恺英网络
44,2023-04-12,上海电影,新易盛,中文在线,昆仑万维,兆龙互连,中际旭创,果麦文化,寒武纪-U,富春股份,剑桥科技,久远银海,神州泰岳,姚记科技,奥飞娱乐,盛天网络,云从科技-UW,同花顺,每日互动,金桥信息,首都在线,新华网,博创科技,恺英网络,百纳千成,世纪华通,天孚通信,汇洲智能,冰川网络,华中数控,光线传媒
45,2023-04-13,上海电影,中文在线,新易盛,兆龙互连,昆仑万维,剑桥科技,奥飞娱乐,中际旭创,盛天网络,果麦文化,姚记科技,富春股份,久远银海,神州泰岳,寒武纪-U,中国科传,金桥信息,百纳千成,博汇科技,云从科技-UW,同花顺,冰川网络,新华网,美亚柏科,每日互动,上海钢联,朗科科技,恺英网络,卓易信息,曲江文旅
46,2023-04-14,新易盛,上海电影,中文在线,中际旭创,中国科传,兆龙互连,寒武纪-U,果麦文化,剑桥科技,神州泰岳,昆仑万维,富春股份,姚记科技,奥飞娱乐,盛天网络,百纳千成,曲江文旅,博汇科技,久远银海,同花顺,精测电子,冰川网络,金桥信息,美亚柏科,福晶科技,华凯易佰,云从科技-UW,卓易信息,返利科技,天孚通信
