,股票名称,股票代码,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
38,羚锐制药,600285.SH,4.2,1.73,17.47,930731.11,中成药,,,,,,
39,利亚德,300296.SZ,2.51,2.49,62.38,1432144.38,半导体,0.1107,281402316.06,-53.94,-191.5553,3.180032305096,3.56
40,北巴传媒,600386.SH,-0.87,1.28,42.49,367718.4,汽车服务,0.11,86538573.98,-34.81,62.9057,2.274559683606,4.68
41,浙江龙盛,600352.SH,6.91,3.29,11.57,3474558.43,染料涂料,0.94,3003132773.22,-10.99,325.315,9.887312897212,9.61
42,长信科技,300088.SZ,-2.13,1.72,24.92,1685456.72,元器件,0.28,679663977.84,-24.84,-55.8521,3.35180300901,8.37
43,华微电子,600360.SH,-1.28,2.09,150.71,740387.68,半导体,,,,,,
44,亚威股份,002559.SZ,-2.43,6.68,34.66,427810.57,机床制造,,,,,,
45,嘉化能源,600273.SH,-3.46,2.22,8.32,1330446.0,化工原料,1.15,1598414231.67,-11.69,33.0186,6.963997012695,16.88
46,东方通,300379.SZ,0.88,6.66,-54.87,1243116.95,软件服务,,,,,,
47,九州通,600998.SH,6.36,1.22,12.84,2975704.67,医药商业,,,,,,
48,昌红科技,300151.SZ,0.17,6.53,74.99,769406.48,专用机械,,,,,,
49,厦门国贸,600755.SH,6.23,3.06,6.71,1904194.75,仓储物流,,,,,,
50,矩子科技,300802.SZ,1.42,2.33,57.94,477994.16,专用机械,,,,,,
51,飞乐音响,600651.SH,-0.52,1.24,30.67,473043.84,电器仪表,0.124,311428683.47,168.7988609106,-119.3129,0.949829874223,13.68
52,华发股份,600325.SH,0.33,0.69,9.96,2568105.52,区域地产,1.12,2577816542.73,-19.31,75.6607,8.435059787882,13.74
53,恩华药业,002262.SZ,1.07,0.71,31.34,2495317.62,化学制药,0.89,900926029.55,12.93,-45.9691,5.579907770853,17.2
54,浙江东方,600120.SH,1.51,0.71,14.57,1379814.12,多元金融,0.31,946721516.64,44.28,454.1028,4.544894441297,6.84
55,中视传媒,600088.SH,-3.44,2.07,-48.28,446226.58,影视音像,,,,,,
56,济民医疗,603222.SH,1.6,2.26,65.97,637803.62,医疗保健,,,,,,
57,国元证券,000728.SZ,2.31,2.49,17.85,3093911.24,证券,0.4,1732821991.13,-9.24,39.3563,7.548922750709,5.32
58,上海电气,601727.SH,0.0,0.4,-20.53,5948003.73,电气设备,-0.23,-3566484000.0,64.2919818645,-406.0745,3.521372630435,-6.31
59,三鑫医疗,300453.SZ,0.77,1.08,22.4,287321.31,医疗保健,0.466,184634263.09,18.42,11.42,2.708075853168,18.96
60,中信证券,600030.SH,3.96,1.43,15.14,24756636.33,证券,1.42,21317422282.16,-7.72,-11.568,16.150307121131,8.67
61,南极电商,002127.SZ,-1.95,2.21,37.14,1001341.51,互联网,,,,,,
62,星辉环材,300834.SZ,-0.46,1.25,35.75,158675.45,化工原料,0.74,140023617.84,-52.06,154.0044,15.441987809936,4.97
63,豫园股份,600655.SH,0.12,0.26,8.28,3156670.07,百货,0.99,3825886955.18,1.52,1862.2653,9.147553799057,10.853
64,森马服饰,002563.SZ,-1.34,0.5,24.95,1107393.15,服饰,0.24,636999237.66,-57.15,118.822,4.046088905733,5.7
65,华铁应急,603300.SH,3.94,1.44,18.84,1099505.64,多元金融,0.5,641292635.3,28.74,11.1074,3.29827782353,16.18
66,实丰文化,002862.SZ,1.12,3.12,236.12,154112.63,文教休闲,,,,,,
67,华研精机,301138.SZ,-3.33,7.26,45.65,87000.0,专用机械,,,,,,
68,节能国祯,300388.SZ,0.0,0.73,12.26,495207.85,环境保护,0.5793,404937819.25,10.43,125.1074,5.547217818986,9.9
69,英威腾,002334.SZ,2.19,4.01,25.3,847848.8,电气设备,,,,,,
70,开创国际,600097.SH,0.46,1.23,24.93,264548.34,渔业,0.44,106103150.25,-44.45,855.0835,8.676150917927,5.08
71,时代新材,600458.SH,2.43,1.36,25.6,912781.5,塑料,0.44,356548124.11,96.51,123.9036,6.882440662743,6.86
72,绿色动力,601330.SH,0.92,1.13,14.41,761598.92,环境保护,0.53,744767290.31,6.73,-11.4569,5.104371641264,10.64
73,永鼎股份,600105.SH,2.58,6.36,32.13,713935.63,通信设备,,,,,,
74,齐峰新材,002521.SZ,-0.51,2.02,-397.56,237266.74,造纸,0.02,8475812.51,-94.87,139.2205,7.166627841458,0.24
75,佳都科技,600728.SH,-1.24,2.92,-58.85,1243926.43,软件服务,,,,,,
76,吉视传媒,601929.SH,-2.71,1.97,-60.45,709778.5,影视音像,,,,,,
77,石化油服,600871.SH,0.87,0.7,94.96,3148095.82,石油开采,0.024,463814000.0,158.0,146.2881,0.391233985485,6.54
78,深圳瑞捷,300977.SZ,-3.81,12.52,140.36,67169.57,建筑工程,,,,,,
79,九华旅游,603199.SH,0.07,3.83,2415.02,318426.36,旅游景点,,,,,,
80,江化微,603078.SH,-1.72,3.75,70.7,642259.82,半导体,0.4096,105779548.65,87.19,17.8527,5.524557617081,9.68
81,维信诺,002387.SZ,-1.93,0.5,-4.03,1043620.82,元器件,,,,,,
82,杭钢股份,600126.SH,-2.32,0.77,35.61,1708857.68,普钢,0.14,479843011.34,-70.75,20.9298,5.976459826306,2.37
83,上海莱士,002252.SZ,-0.9,0.59,20.77,4440432.95,生物制药,,,,,,
84,长沙银行,601577.SH,3.48,0.92,4.74,1658220.39,银行,,,,,,
85,云南锗业,002428.SZ,-1.11,1.95,-120.88,744183.07,小金属,-0.1,-62402891.27,-546.95,-186.7003,2.155698307983,-4.34
86,佐力药业,300181.SZ,-0.6,2.22,37.73,908676.9,中成药,,,,,,
87,雷曼光电,300162.SZ,-2.2,2.41,47.39,199559.17,元器件,,,,,,
88,电光科技,002730.SZ,1.35,4.31,35.44,310734.83,专用机械,,,,,,
89,康弘药业,002773.SZ,0.1,1.06,17.74,1341257.97,化学制药,,,,,,
90,塔牌集团,002233.SZ,-0.37,0.7,36.32,966236.58,水泥,0.23,266206967.73,-85.5,330.5435,9.473569911961,2.32
91,福莱新材,605488.SH,4.2,8.0,34.3,63684.0,塑料,0.43,75452674.83,-40.82,-33.0272,5.926948995704,7.33
92,捷成股份,300182.SZ,-3.4,8.32,28.61,1563752.34,影视音像,,,,,,
93,玉禾田,300815.SZ,0.11,1.01,11.55,571346.88,环境保护,,,,,,
94,金财互联,002530.SZ,-2.88,4.04,-53.14,601351.52,软件服务,,,,,,
95,郑煤机,601717.SH,2.43,0.46,10.08,2173112.01,汽车配件,1.446,2538234930.96,30.31,15.8551,9.991475518758,15.74
96,有研新材,600206.SH,-0.89,2.24,37.85,1313004.22,半导体,,,,,,
97,浩丰科技,300419.SZ,-2.5,3.47,164.29,258529.58,软件服务,,,,,,
98,华软科技,002453.SZ,5.62,4.19,142.1,810652.26,软件服务,,,,,,
99,光力科技,300480.SZ,-2.56,4.11,116.48,507895.16,专用机械,0.19,65407381.04,-44.56,-93.6068,3.970606460635,4.76
100,佛慈制药,002644.SZ,5.83,5.15,63.91,677131.18,中成药,0.2075,105945825.56,13.6,3135.0382,3.359181825315,6.35
101,铭普光磁,002902.SZ,-0.63,6.75,160.88,258466.83,元器件,,,,,,
102,中文在线,300364.SZ,-10.57,19.47,-102.72,1501618.52,出版业,,,,,,
103,紫天科技,300280.SZ,-2.45,5.26,31.47,383533.26,广告包装,,,,,,
104,协创数据,300857.SZ,-2.27,3.19,47.32,360158.25,IT设备,0.63,130907097.23,3.67,-66.2323,6.90028452058,9.51
105,国机重装,601399.SH,1.85,1.37,56.55,1039096.71,工程机械,,,,,,
106,潮宏基,002345.SZ,0.13,2.03,22.48,687320.86,服饰,,,,,,
107,共进股份,603118.SH,-0.39,1.17,17.45,806406.23,通信设备,,,,,,
108,中储股份,600787.SH,-0.99,2.8,20.46,1299877.67,仓储物流,0.3,640481048.74,-30.36,777.6023,5.964949661517,4.9712
109,豫光金铅,600531.SH,-0.77,2.9,16.57,704296.74,铅锌,0.39,424944495.22,6.27,733.9006,3.995769013148,10.07
110,如通股份,603036.SH,-1.73,2.98,33.11,268631.86,专用机械,0.39,81143790.8,46.11,107.6566,5.869304293055,6.89
111,通源石油,300164.SZ,1.58,6.76,124.54,218257.37,石油开采,,,,,,
112,凯盛科技,600552.SH,2.78,4.12,94.45,1071729.26,元器件,0.1801,140323132.41,-34.79,531.4929,4.321515597842,4.22
113,水晶光电,002273.SZ,-0.87,1.35,33.04,1854643.88,元器件,0.42,576170658.74,30.3,-59.0751,5.858264444751,7.15
114,大华股份,002236.SZ,-2.12,4.43,35.36,4699274.27,电器仪表,,,,,,
115,银信科技,300231.SZ,-2.22,5.77,24.43,348050.95,软件服务,0.4147,173757388.2,2.03,-40.462,3.436050940576,11.31
116,洛阳钼业,603993.SH,-0.94,1.25,22.61,11154265.61,小金属,0.28,6066946564.19,18.82,-34.2818,2.347238175567,13.41
117,柳药集团,603368.SH,2.46,1.5,12.92,906657.47,医药商业,1.94,701518265.38,24.42,-38.7789,16.056496767644,12.26
118,银之杰,300085.SZ,-5.2,4.52,-99.56,653594.96,软件服务,,,,,,
119,中国人保,601319.SH,2.44,0.23,9.88,19346277.34,保险,0.55,24406000000.0,12.8,-83.8618,5.008818740955,11.1
120,新澳股份,603889.SH,3.11,1.63,12.25,441637.13,纺织,0.76,389725204.92,30.66,-45.5399,5.778466747439,13.79
121,海南高速,000886.SZ,1.33,2.55,35.0,595056.34,区域地产,,,,,,
122,中油工程,600339.SH,1.53,4.78,22.06,2590580.43,石油加工,,,,,,
123,北新路桥,002307.SZ,0.17,4.48,135.94,650254.31,建筑工程,,,,,,
124,赣粤高速,600269.SH,0.87,0.57,11.71,815057.05,路桥,0.3,695973133.38,-21.99,-95.7605,7.20662719221,4.21
125,恒实科技,300513.SZ,0.57,7.07,55.71,380460.6,软件服务,,,,,,
126,驰宏锌锗,600497.SH,1.62,2.25,15.18,2876579.74,铅锌,,,,,,
127,人福医药,600079.SH,3.82,1.01,18.95,4201643.59,化学制药,1.54,2484108585.43,88.6,-64.0728,9.209805942289,17.63
128,三晖电气,002857.SZ,2.34,2.73,17130.88,229504.0,电器仪表,,,,,,
129,沪电股份,002463.SZ,0.18,3.45,31.12,4234393.73,元器件,0.7179,1361574992.0,28.03,13.4771,4.358664120655,17.7
130,东华能源,002221.SZ,0.0,1.37,68.68,1343207.5,石油贸易,,,,,,
131,中建环能,300425.SZ,0.79,2.28,17.99,343977.71,环境保护,,,,,,
132,达实智能,002421.SZ,-2.36,3.21,41.36,735172.42,软件服务,0.1109,211771631.04,142.38,-18.0467,1.427080357398,8.08
133,中国电建,601669.SH,0.51,1.8,11.76,8617258.88,建筑工程,,,,,,
134,西安旅游,000610.SZ,1.27,22.84,-41.78,488759.67,旅游服务,,,,,,
135,金徽股份,603132.SH,1.06,2.97,27.85,213544.8,铅锌,0.49,469943790.22,1.52,146.0058,3.211953110041,15.31
136,重药控股,000950.SZ,2.3,1.21,9.69,998890.75,医药商业,,,,,,
137,国投资本,600061.SH,2.54,0.6,15.9,4677622.96,证券,0.44,2941523013.15,-38.63,188.9537,7.479643918985,6.04
138,华西股份,000936.SZ,-2.61,4.82,33.57,660786.02,化纤,,,,,,
139,华数传媒,000156.SZ,-3.0,1.15,21.16,1416374.88,影视音像,,,,,,
140,珠江啤酒,002461.SZ,0.43,0.46,34.18,2045115.52,啤酒,0.27,598264071.35,-2.11,-89.1945,4.345320279311,6.36
141,东北证券,000686.SZ,10.03,3.13,11.71,1771722.86,证券,0.0987,230943100.38,-85.78,-164.6219,7.709493023918,1.28
142,世纪鼎利,300050.SZ,-3.92,3.49,-91.21,224660.92,通信设备,,,,,,
143,中持股份,603903.SH,-1.03,0.72,25.02,193604.69,环境保护,,,,,,
144,浙江恒威,301222.SZ,-1.52,3.62,23.56,80435.42,电气设备,,,,,,
145,新潮能源,600777.SH,9.96,8.66,5.54,1827085.74,石油开采,,,,,,
146,中信海直,000099.SZ,2.14,2.34,32.43,576694.69,空运,0.25,194230177.21,-21.2,-35.034,6.341601639714,4.03
147,恒源煤电,600971.SH,2.41,2.42,4.47,1123204.57,煤炭开采,2.09,2512766948.86,81.15,24.5054,9.841198380573,23.19
148,领益智造,002600.SZ,-0.65,0.48,26.18,4190034.19,元器件,,,,,,
149,唐山港,601000.SH,0.3,0.97,11.82,1997037.94,港口,0.2851,1689667346.93,-19.11,-38.9222,3.235514865817,9.01
150,读者传媒,603999.SH,-3.0,1.81,43.11,372096.0,出版业,,,,,,
151,海南瑞泽,002596.SZ,-2.24,5.27,-9.11,414601.26,其他建材,-0.43,-493726151.39,56.72,-494.7705,1.306472694197,-28.27
152,欧普照明,603515.SH,2.27,0.26,21.63,1459276.81,家用电器,,,,,,
153,广州发展,600098.SH,0.8,1.1,16.52,2023487.99,火力发电,0.3882,1353857708.39,686.8,-73.0071,6.839182581258,5.5705
154,惠而浦,600983.SH,2.92,0.26,-61.87,620815.59,家用电器,,,,,,
155,申昊科技,300853.SZ,5.72,3.67,-65.63,268625.04,专用机械,,,,,,
156,易事特,300376.SZ,-2.89,2.09,36.71,1950405.36,电气设备,,,,,,
157,首创环保,600008.SH,0.67,1.1,7.03,2216858.38,环境保护,0.4296,3153774412.01,34.68,-104.1025,2.550541434764,11.45
158,建设银行,601939.SH,1.78,1.22,4.86,6044004.29,银行,1.28,323861000000.0,7.16,-10.5803,10.866581870398,12.27
159,申能股份,600642.SH,0.16,0.61,20.61,3123290.38,火力发电,,,,,,
160,掌趣科技,300315.SZ,-4.3,4.89,63.03,1159899.78,互联网,,,,,,
161,中国太保,601601.SH,4.03,0.49,11.21,19631578.89,保险,2.56,24609000000.0,-8.3,-37.7851,23.746985446985,10.8
162,中信银行,601998.SH,2.22,0.13,4.72,20397555.73,银行,1.17,62103000000.0,11.61,2.8877,11.185082251967,10.8
163,东方证券,600958.SH,2.31,2.66,17.12,8597374.78,证券,0.35,3010558218.74,-43.95,-25.5644,8.519417882363,4.16
164,招商证券,600999.SH,2.54,0.4,15.63,10769329.65,证券,0.86,8072318543.95,-30.68,-10.061,11.517135445047,7.54
165,瀚蓝环境,600323.SH,0.95,0.4,13.55,1553236.31,环境保护,1.41,1146344192.34,-1.46,-12.4006,13.347932351112,11.03
166,五矿发展,600058.SH,0.3,0.93,31.88,1082629.82,商贸代理,0.17,339604024.69,-29.1,16.0431,4.490922545656,3.91
167,阳光照明,600261.SH,-0.29,0.49,27.57,478154.95,家用电器,,,,,,
168,秦川机床,000837.SZ,-0.86,2.84,37.87,802821.9,机床制造,0.3058,275001163.23,-2.07,37.1615,3.894268629024,8.17
169,中金环境,300145.SZ,1.81,1.26,30.32,533994.41,机械基件,,,,,,
170,立霸股份,603519.SH,1.15,3.04,5.58,373391.63,家用电器,,,,,,
171,天邑股份,300504.SZ,-2.64,2.78,19.26,425672.94,通信设备,,,,,,
172,北方铜业,000737.SZ,2.12,3.61,19.55,488848.15,铜,0.3442,610033440.32,-27.09,-45.9509,2.4294403045,13.93
173,友讯达,300514.SZ,0.96,5.68,25.48,193721.94,电器仪表,,,,,,
174,中原传媒,000719.SZ,-4.54,2.97,11.24,743869.51,出版业,,,,,,
175,千方科技,002373.SZ,-4.13,3.21,-91.28,1976477.44,软件服务,,,,,,
176,重庆银行,601963.SH,1.64,0.98,5.31,514402.39,银行,1.31,4867857000.0,4.38,-56.9858,12.596033431764,10.2
177,新联电子,002546.SZ,3.39,6.61,10.54,335176.57,电气设备,,,,,,
178,宏昌电子,603002.SH,1.05,0.91,7.52,354515.55,化工原料,,,,,,
179,太和水,605081.SH,-0.16,3.41,102.02,164583.48,环境保护,,,,,,
180,联德股份,605060.SH,3.75,2.75,29.08,243657.6,机械基件,1.03,247743977.95,54.27,-14.5887,8.54784599782,12.62
181,三峰环境,601827.SH,0.27,0.77,10.99,596606.79,环境保护,0.68,1139294719.61,-8.0,3.1476,5.744612202664,12.45
182,京沪高铁,601816.SH,2.7,0.43,1289.91,26173756.3,铁路,,,,,,
183,渝农商行,601077.SH,0.81,1.1,4.12,2197072.84,银行,0.89,10275574000.0,7.49,-63.8943,9.446662410848,9.76
184,中科信息,300678.SZ,-4.14,14.44,101.89,321610.9,软件服务,0.2553,50265875.46,16.57,337.6575,4.225651026716,6.27
185,奇德新材,300995.SZ,-1.03,4.48,84.07,64536.87,塑料,,,,,,
186,中原证券,601375.SH,2.35,1.34,170.77,1351427.72,证券,0.02,106577985.92,-79.23,-98.1289,2.963207129619,0.78
187,恒逸石化,000703.SZ,-0.46,1.43,18.26,3191234.47,化纤,,,,,,
188,中国广核,003816.SZ,0.66,0.31,15.41,11957835.77,新型电力,0.197,9964854412.04,2.06,-59.2877,2.119418010932,9.63
189,和而泰,002402.SZ,-0.57,1.05,36.85,1387582.33,元器件,0.4786,437551607.48,-20.93,-18.4923,4.566885022578,11.28
190,碧水源,300070.SZ,2.61,1.38,28.13,1499768.22,环境保护,0.2,708492059.57,21.36,120.5222,7.388622505024,2.77
191,合力泰,002217.SZ,-2.08,1.76,-2.96,1024181.72,元器件,,,,,,
192,燕京啤酒,000729.SZ,0.0,1.68,109.05,3420530.44,啤酒,,,,,,
193,杭州解百,600814.SH,-0.26,0.84,23.91,552000.66,百货,0.33,237567276.31,-32.23,-95.7585,4.460482014806,7.46
194,大智慧,601519.SH,-1.56,2.99,-189.58,1647177.52,软件服务,-0.044,-88275259.96,-650.02,94.1108,0.791777279647,-5.43
195,康力电梯,002367.SZ,0.96,1.76,24.47,441448.76,运输设备,0.3487,274292494.04,-32.37,-11.7497,4.035268866779,8.59
196,华能国际,600011.SH,1.1,0.41,-19.51,10095897.71,火力发电,-0.61,-7387119286.0,26.17,-268.9782,2.959071073518,-18.5
197,外服控股,600662.SH,-0.16,0.55,24.27,656244.64,文教休闲,,,,,,
198,国信证券,002736.SZ,2.18,0.24,14.91,8694711.86,证券,,,,,,
199,浙江交科,002061.SZ,1.57,2.39,9.06,1203029.54,建筑工程,,,,,,
200,宋城演艺,300144.SZ,-0.12,0.94,418.03,3694614.29,旅游景点,,,,,,
201,万业企业,600641.SH,0.6,5.53,290.56,2036218.26,区域地产,,,,,,
202,上海机电,600835.SH,1.75,0.68,13.91,1076683.24,运输设备,0.96,981474003.98,21.03,-36.7559,12.665500922421,7.78
203,中材科技,002080.SZ,6.81,2.05,12.14,4262433.9,玻璃,2.0923,3511154913.89,4.08,100.0964,10.293763862352,23.14
204,迪普科技,300768.SZ,-2.17,3.12,149.82,814676.91,软件服务,,,,,,
205,贵研铂业,600459.SH,0.0,1.81,32.54,1285740.33,小金属,0.69,406988659.98,22.96,29.4226,7.802578762249,10.39
206,百纳千成,300291.SZ,-3.69,7.02,-558.5,677840.26,影视音像,,,,,,
207,浙版传媒,601921.SH,-4.26,7.0,17.98,360577.56,出版业,,,,,,
208,双鹭药业,002038.SZ,0.0,0.94,29.79,783290.89,生物制药,,,,,,
209,青岛港,601298.SH,1.41,0.21,9.3,3494064.6,港口,0.7,4525175176.0,13.63,-5.7445,5.761695441605,12.43
210,古鳌科技,300551.SZ,-1.5,8.27,-174.48,433880.73,IT设备,,,,,,
211,鸿利智汇,300219.SZ,-2.05,2.16,29.1,573092.25,元器件,,,,,,
212,铁龙物流,600125.SH,0.83,3.73,23.52,793757.3,铁路,0.259,337488448.4,0.05,-138.5676,5.10701299803,5.152
213,中国银行,601988.SH,1.99,0.13,4.63,75454054.31,银行,0.73,227439000000.0,5.0240350205,2.2593,6.991059418183,10.81
214,梦网科技,002123.SZ,1.69,14.28,-18.66,1128456.01,互联网,,,,,,
215,英飞特,300582.SZ,3.22,10.07,26.93,401701.09,半导体,,,,,,
216,台基股份,300046.SZ,-2.88,3.0,218.76,430487.1,半导体,0.0834,19731751.47,-55.24,-212.2643,4.442685010452,1.9
217,鼎龙股份,300054.SZ,-1.98,3.76,66.11,2006408.41,化工原料,0.42,390026548.37,82.66,-5.0498,4.446419929202,8.97
218,银星能源,000862.SZ,2.14,3.93,40.11,358467.32,新型电力,0.1783,125878976.76,34.49,-104.7694,4.076229158837,4.47
219,茂业商业,600828.SH,0.78,0.25,19.76,675230.47,百货,0.1973,341787094.03,-16.51,519.3077,4.135034877672,4.8
220,世纪华通,002602.SZ,-5.77,3.98,50.31,4271298.75,互联网,,,,,,
221,安徽建工,600502.SH,1.71,5.38,8.12,1120896.66,建筑工程,0.8,1380008670.33,25.94,46.0562,5.205497596879,11.76
222,中核科技,000777.SZ,0.08,1.37,82.85,463538.52,机械基件,,,,,,
223,杰美特,300868.SZ,-1.3,1.26,-105.24,107153.16,通信设备,,,,,,
224,华邦健康,002004.SZ,0.35,0.85,11.72,1063900.44,农药化肥,,,,,,
225,鼎捷软件,300378.SZ,1.06,4.85,48.18,632861.45,软件服务,,,,,,
226,读客文化,301025.SZ,-7.16,15.32,86.68,135405.96,出版业,,,,,,
227,宇新股份,002986.SZ,1.79,1.25,15.06,423895.28,化工原料,1.9373,430368541.18,205.24,-24.2178,10.740008731921,19.19
228,养元饮品,603156.SH,0.27,0.13,21.16,2842298.63,软饮料,,,,,,
229,中金岭南,000060.SZ,-1.74,1.85,15.63,1894792.08,铅锌,0.33,1212289355.25,3.47,-15.3984,3.812093482855,8.61
230,广电运通,002152.SZ,-1.92,1.42,38.39,3174649.02,IT设备,0.33,827327738.9,0.37,-37.1529,4.675827753325,7.26
231,金桥信息,603918.SH,-3.3,15.89,704.33,622226.42,软件服务,,,,,,
232,兆驰股份,002429.SZ,1.24,0.67,19.32,2194122.24,家用电器,0.25,1145949330.35,244.13,-25.1633,3.007052731892,8.73
233,中国交建,601800.SH,3.65,1.16,10.57,14672297.05,建筑工程,1.09,19103845044.0,6.16,-30.5123,15.093033319256,7.54
234,日照港,600017.SH,1.74,1.23,14.24,898090.94,港口,0.21,630841537.86,-14.4,-108.8872,4.415373434181,4.74
235,横店影视,603103.SH,-1.77,0.42,-32.07,1017891.0,影视音像,-0.5,-317429302.45,-2422.51,-452.1798,1.851636831015,-23.81
236,中国动力,600482.SH,0.06,0.47,92.6,3375674.94,船舶,,,,,,
237,宁波港,601018.SH,0.0,0.22,17.19,4913472.23,港口,0.25,4220128000.0,-2.58,-35.8034,3.698900834095,7.11
238,中洲特材,300963.SZ,0.38,10.34,37.51,124274.29,小金属,,,,,,
239,创益通,300991.SZ,-4.5,19.06,269.76,104143.97,元器件,0.06,8503515.18,-88.19,-127.4626,4.383202554722,1.33
240,中国核建,601611.SH,1.03,1.03,15.65,2324620.56,建筑工程,,,,,,
241,烽火通信,600498.SH,-2.86,2.79,61.08,2342299.26,通信设备,,,,,,
242,东方创业,600278.SH,0.14,0.82,14.06,490176.1,商贸代理,,,,,,
243,上港集团,600018.SH,1.25,0.12,7.64,13093126.18,港口,0.7423,17223915520.79,17.31,-64.6219,4.824201561407,16.253
244,财通证券,601108.SH,2.76,1.53,25.24,3631398.4,证券,,,,,,
245,中信重工,601608.SH,3.03,1.39,121.67,1770483.07,专用机械,0.034,145516920.37,-35.78,-611.4212,1.759351801644,1.92
246,浦发银行,600000.SH,1.65,0.12,4.24,21691257.15,银行,,,,,,
247,长江传媒,600757.SH,-3.73,2.28,9.01,845807.48,出版业,,,,,,
248,兴业证券,601377.SH,5.16,2.71,25.21,5984739.19,证券,,,,,,
249,江苏有线,600959.SH,-1.72,0.9,50.68,1715246.17,影视音像,,,,,,
