,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
62,2023-03-07,鸿博股份,汤姆猫,拓维信息,三六零,万兴科技,浪潮信息,华电重工,蓝科高新,海天瑞声,中国科传
63,2023-03-08,汤姆猫,鸿博股份,拓维信息,万兴科技,三六零,浪潮信息,中科曙光,华电重工,金桥信息,博彦科技
64,2023-03-09,汤姆猫,拓维信息,万兴科技,鸿博股份,神宇股份,华电重工,蕾奥规划,金桥信息,中科曙光,中铁装配
65,2023-03-10,汤姆猫,蕾奥规划,万兴科技,易华录,恒久科技,拓维信息,上海电影,冰川网络,彩讯股份,神宇股份
66,2023-03-13,汤姆猫,万兴科技,彩讯股份,恒久科技,蕾奥规划,亚信安全,拓维信息,数字认证,易华录,云赛智联
67,2023-03-14,汤姆猫,万兴科技,彩讯股份,深桑达A,晓程科技,云赛智联,金桥信息,恒久科技,易华录,北方国际
68,2023-03-15,汤姆猫,北方国际,金力泰,恒久科技,万兴科技,彩讯股份,上海电影,深桑达A,中国中铁,中国交建
69,2023-03-16,北方国际,汤姆猫,万兴科技,金力泰,恒久科技,龙建股份,蓝色光标,晓程科技,亚翔集成,新华网
70,2023-03-17,北方国际,彩讯股份,蓝色光标,寒武纪-U,龙建股份,万兴科技,罗普特,汤姆猫,恒久科技,深桑达A
71,2023-03-20,北方国际,寒武纪-U,龙建股份,彩讯股份,蓝色光标,晓程科技,张江高科,上海电影,罗普特,宝通科技
72,2023-03-21,北方国际,寒武纪-U,百纳千成,彩讯股份,盛天网络,蓝色光标,上海电影,汤姆猫,姚记科技,罗普特
73,2023-03-22,寒武纪-U,百纳千成,上海电影,彩讯股份,北方国际,蓝色光标,盛天网络,汤姆猫,昆仑万维,姚记科技
74,2023-03-23,寒武纪-U,上海电影,彩讯股份,北方国际,蓝色光标,昆仑万维,芯原股份,百纳千成,汤姆猫,万兴科技
75,2023-03-24,寒武纪-U,昆仑万维,彩讯股份,蓝色光标,上海电影,盛天网络,万兴科技,北方国际,汤姆猫,景嘉微
76,2023-03-27,寒武纪-U,昆仑万维,上海电影,盛天网络,万兴科技,蓝色光标,汤姆猫,彩讯股份,景嘉微,中文在线
77,2023-03-28,寒武纪-U,盛天网络,中文在线,昆仑万维,上海电影,易华录,万兴科技,蓝色光标,北方国际,三六零
78,2023-03-29,寒武纪-U,上海电影,盛天网络,中文在线,汤姆猫,北方国际,昆仑万维,万兴科技,晶瑞电材,景嘉微
79,2023-03-30,寒武纪-U,上海电影,中文在线,盛天网络,昆仑万维,景嘉微,三六零,北方国际,姚记科技,东方国信
80,2023-03-31,寒武纪-U,上海电影,昆仑万维,中文在线,盛天网络,同花顺,蓝色光标,景嘉微,姚记科技,金桥信息
81,2023-04-03,寒武纪-U,昆仑万维,上海电影,同花顺,中文在线,景嘉微,盛天网络,蓝色光标,三六零,富春股份
82,2023-04-04,寒武纪-U,昆仑万维,上海电影,同花顺,易华录,三六零,景嘉微,盛天网络,中文在线,神州泰岳
83,2023-04-06,寒武纪-U,昆仑万维,上海电影,同花顺,富春股份,景嘉微,美亚柏科,山大地纬,易华录,三六零
84,2023-04-07,寒武纪-U,昆仑万维,上海电影,中文在线,同花顺,神州泰岳,山大地纬,富春股份,景嘉微,盛天网络
85,2023-04-10,寒武纪-U,上海电影,昆仑万维,中文在线,神州泰岳,金桥信息,同花顺,盛天网络,姚记科技,富春股份
86,2023-04-11,上海电影,中文在线,寒武纪-U,昆仑万维,姚记科技,神州泰岳,金桥信息,盛天网络,新华网,同花顺
87,2023-04-12,上海电影,中文在线,昆仑万维,寒武纪-U,富春股份,神州泰岳,姚记科技,奥飞娱乐,盛天网络,同花顺
88,2023-04-13,上海电影,中文在线,昆仑万维,奥飞娱乐,盛天网络,姚记科技,富春股份,神州泰岳,寒武纪-U,中国科传
89,2023-04-14,上海电影,中文在线,中国科传,寒武纪-U,神州泰岳,昆仑万维,富春股份,姚记科技,奥飞娱乐,盛天网络
