,股票名称,股票代码,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
137,北新路桥,002307.SZ,0.17,4.48,135.94,650254.31,建筑工程,,,,,,
138,宜通世纪,300310.SZ,-4.01,6.22,157.69,298135.28,通信设备,,,,,,
139,华谊集团,600623.SH,1.34,0.36,11.35,1270018.19,化工原料,0.6,1281211494.32,-56.83,33.4345,10.212057038977,5.93
140,永安期货,600927.SH,1.32,0.8,40.78,931069.28,多元金融,,,,,,
141,青岛港,601298.SH,1.41,0.21,9.3,3494064.6,港口,0.7,4525175176.0,13.63,-5.7445,5.761695441605,12.43
142,宋城演艺,300144.SZ,-0.12,0.94,418.03,3694614.29,旅游景点,,,,,,
143,国民技术,300077.SZ,-2.21,3.78,-315.93,956419.21,半导体,,,,,,
144,高盟新材,300200.SZ,-3.08,2.72,25.0,368707.74,化工原料,0.33,140765077.85,-11.57,-20.8433,4.561522441965,7.5
145,山河药辅,300452.SZ,-0.61,2.92,32.2,334637.23,化学制药,0.56,130708710.84,46.45,26.7402,3.080818673789,19.39
146,安车检测,300572.SZ,-0.67,1.73,85.51,263925.85,电器仪表,,,,,,
147,商络电子,300975.SZ,-3.49,2.76,28.76,231146.92,元器件,,,,,,
148,节能国祯,300388.SZ,0.0,0.73,12.26,495207.85,环境保护,0.5793,404937819.25,10.43,125.1074,5.547217818986,9.9
149,申能股份,600642.SH,0.16,0.61,20.61,3123290.38,火力发电,,,,,,
150,乐歌股份,300729.SZ,-2.51,1.34,20.68,379511.56,家居用品,,,,,,
151,奥赛康,002755.SZ,2.83,1.52,-118.63,1079432.08,化学制药,,,,,,
152,雅戈尔,600177.SH,1.07,0.33,5.49,3027122.73,服饰,,,,,,
153,上海瀚讯,300762.SZ,-1.83,1.48,76.24,907373.55,通信设备,,,,,,
154,中国中车,601766.SH,-0.44,0.54,16.77,16567230.47,运输设备,0.41,11653448000.0,13.11,94.2374,5.402350490249,7.35
155,皖能电力,000543.SZ,1.6,2.47,22.39,1294378.96,火力发电,,,,,,
156,大恒科技,600288.SH,-2.81,2.06,54.9,604531.2,元器件,,,,,,
157,首航高科,002665.SZ,-0.24,6.1,-64.14,1024003.14,电气设备,,,,,,
158,双汇发展,000895.SZ,1.25,0.25,16.04,9013649.98,食品,1.6223,5620885670.8,15.51,16.4634,6.307342808126,25.43
159,旋极信息,300324.SZ,-4.83,4.62,-28.76,568160.34,软件服务,,,,,,
160,鹏欣资源,600490.SH,1.46,7.97,-21.67,830923.12,铜,,,,,,
161,民生银行,600016.SH,1.15,0.21,4.37,12482667.37,银行,0.71,35269000000.0,2.58,-83.6871,11.533643963273,6.31
162,豪美新材,002988.SZ,1.15,1.94,111.38,132947.03,铝,,,,,,
163,康力电梯,002367.SZ,0.96,1.76,24.47,441448.76,运输设备,0.3487,274292494.04,-32.37,-11.7497,4.035268866779,8.59
