,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名,第11名,第12名,第13名,第14名,第15名,第16名,第17名,第18名,第19名,第20名
16,2022-12-27,人民网,黑芝麻,西安旅游,卓朗科技,通润装备,敦煌种业,三五互联,佳华科技,云赛智联,卓然股份,易天股份,海南机场,芒果超媒,大港股份,敏芯股份,曲江文旅,广汇物流,嘉友国际,中京电子,国科微
17,2022-12-28,人民网,西安旅游,黑芝麻,卓朗科技,佳华科技,曲江文旅,卓然股份,通润装备,云赛智联,易天股份,安妮股份,三五互联,芒果超媒,海南机场,敏芯股份,广汇物流,嘉友国际,中泰化学,小商品城,敦煌种业
18,2022-12-29,西安旅游,卓朗科技,黑芝麻,人民网,安妮股份,曲江文旅,卓然股份,佳华科技,易天股份,云赛智联,祥源文旅,文一科技,三五互联,海南机场,敏芯股份,中科云网,小商品城,中泰化学,大晟文化,敦煌种业
19,2022-12-30,西安旅游,黑芝麻,卓朗科技,安妮股份,人民网,曲江文旅,三五互联,祥源文旅,中科云网,卓然股份,易天股份,文一科技,云赛智联,小商品城,海南机场,沃格光电,东百集团,北京文化,龙建股份,久其软件
20,2023-01-03,黑芝麻,西安旅游,卓朗科技,安妮股份,三五互联,卓然股份,人民网,文一科技,久其软件,曲江文旅,慈文传媒,易天股份,佳华科技,祥源文旅,风语筑,中科云网,敏芯股份,芒果超媒,联发股份,实益达
21,2023-01-04,黑芝麻,安妮股份,西安旅游,久其软件,卓朗科技,三五互联,慈文传媒,卓然股份,佳华科技,文一科技,曲江文旅,易天股份,祥源文旅,中科云网,人民网,风语筑,敏芯股份,龙建股份,云赛智联,博瑞传播
22,2023-01-05,安妮股份,黑芝麻,三五互联,西安旅游,卓朗科技,文一科技,久其软件,易天股份,哈尔斯,美利云,佳华科技,慈文传媒,紫光股份,芒果超媒,龙建股份,三人行,实益达,曲江文旅,卓然股份,祥源文旅
23,2023-01-06,黑芝麻,安妮股份,卓朗科技,久其软件,西安旅游,三五互联,文一科技,佳华科技,易天股份,芒果超媒,三人行,中远海科,祥源文旅,永贵电器,紫光股份,敏芯股份,中富电路,曲江文旅,睿能科技,美利云
24,2023-01-09,黑芝麻,安妮股份,西安旅游,久其软件,三五互联,卓朗科技,文一科技,佳华科技,易天股份,中富电路,众业达,三人行,人民网,敏芯股份,祥源文旅,永贵电器,芒果超媒,实益达,曲江文旅,龙建股份
25,2023-01-10,安妮股份,黑芝麻,久其软件,西安旅游,三五互联,三人行,佳华科技,易天股份,文一科技,敏芯股份,卓朗科技,游族网络,众业达,永贵电器,中京电子,中富电路,实益达,兴瑞科技,祥源文旅,芒果超媒
26,2023-01-11,安妮股份,黑芝麻,久其软件,三五互联,实益达,永贵电器,众业达,西安旅游,卓朗科技,佳华科技,易天股份,中京电子,文一科技,敏芯股份,东尼电子,三人行,电子城,兴瑞科技,钱江摩托,睿能科技
27,2023-01-12,安妮股份,黑芝麻,三五互联,众业达,久其软件,电子城,佳华科技,实益达,天威视讯,游族网络,永贵电器,卓朗科技,东尼电子,兴瑞科技,中京电子,三人行,钱江摩托,龙建股份,人民网,文一科技
28,2023-01-13,安妮股份,黑芝麻,电子城,天威视讯,三五互联,众业达,卓朗科技,久其软件,实益达,游族网络,佳华科技,龙建股份,二六三,钱江摩托,三人行,兴瑞科技,泰永长征,赛腾股份,新宙邦,东尼电子
29,2023-01-16,安妮股份,久其软件,黑芝麻,卓朗科技,三五互联,电子城,泰永长征,天威视讯,众业达,二六三,佳华科技,游族网络,钱江摩托,三人行,兴瑞科技,赛腾股份,深信服,金证股份,顶点软件,龙建股份
30,2023-01-17,安妮股份,久其软件,泰永长征,卓朗科技,天威视讯,三五互联,钱江摩托,游族网络,三人行,恒久科技,众业达,赛腾股份,佳华科技,珠江钢琴,兴瑞科技,电子城,深信服,黑芝麻,顶点软件,芯朋微
31,2023-01-18,久其软件,泰永长征,安妮股份,卓朗科技,深信服,三五互联,恒久科技,珠江钢琴,钱江摩托,顶点软件,天威视讯,三人行,佳华科技,游族网络,众业达,太极股份,慈文传媒,远望谷,黑芝麻,赛腾股份
32,2023-01-19,恒久科技,久其软件,泰永长征,顶点软件,深信服,卓朗科技,三五互联,安妮股份,钱江摩托,太极股份,杭萧钢构,赛腾股份,三人行,利和兴,中远海科,游族网络,跃岭股份,致远互联,佳华科技,易华录
33,2023-01-20,恒久科技,久其软件,中远海科,卓朗科技,安妮股份,三五互联,泰永长征,深信服,英威腾,龙建股份,顶点软件,太极股份,钱江摩托,杭萧钢构,赛腾股份,三人行,利和兴,致远互联,易华录,兴瑞科技
34,2023-01-30,恒久科技,久其软件,中远海科,卓朗科技,三五互联,英威腾,泰永长征,利和兴,赛腾股份,深信服,杭萧钢构,安妮股份,众业达,钱江摩托,龙建股份,太极股份,拓尔思,海天瑞声,顶点软件,黑芝麻
35,2023-01-31,恒久科技,中远海科,久其软件,赛为智能,海天瑞声,安妮股份,卓朗科技,英威腾,利和兴,电子城,拓尔思,杭萧钢构,钱江摩托,泰永长征,龙建股份,众业达,赛腾股份,深信服,三人行,黑芝麻
36,2023-02-01,恒久科技,赛为智能,中远海科,久其软件,海天瑞声,安妮股份,拓尔思,三五互联,卓朗科技,利和兴,众业达,杭萧钢构,英威腾,电子城,钱江摩托,泰永长征,太极股份,汉王科技,深信服,初灵信息
37,2023-02-02,恒久科技,赛为智能,中远海科,海天瑞声,久其软件,安妮股份,初灵信息,汉王科技,三五互联,拓尔思,泰永长征,众业达,钱江摩托,杭萧钢构,英威腾,视觉中国,太极股份,利和兴,深桑达A,华力创通
38,2023-02-03,恒久科技,赛为智能,海天瑞声,中远海科,初灵信息,汉王科技,安妮股份,久其软件,拓尔思,三五互联,福石控股,众业达,太极股份,利和兴,视觉中国,英威腾,泰永长征,杭萧钢构,游族网络,深桑达A
39,2023-02-06,海天瑞声,恒久科技,赛为智能,汉王科技,初灵信息,拓尔思,中远海科,太极股份,福石控股,科大国创,英威腾,赛腾股份,杭萧钢构,科大讯飞,众业达,万兴科技,泰永长征,深桑达A,天娱数科,铜牛信息
40,2023-02-07,海天瑞声,恒久科技,汉王科技,赛为智能,初灵信息,中远海科,神思电子,绿的谐波,福石控股,科大国创,拓尔思,天娱数科,杭萧钢构,众业达,昆仑万维,视觉中国,铜牛信息,神州泰岳,万兴科技,英威腾
41,2023-02-08,海天瑞声,恒久科技,汉王科技,赛为智能,初灵信息,铜牛信息,拓尔思,泰永长征,绿的谐波,科大国创,天娱数科,杭萧钢构,昆仑万维,神思电子,鸿博股份,英威腾,众业达,钱江摩托,科大讯飞,福石控股
42,2023-02-09,海天瑞声,汉王科技,赛为智能,恒久科技,初灵信息,科大国创,鸿博股份,拓尔思,铜牛信息,景嘉微,昆仑万维,天娱数科,泰永长征,岭南股份,三六零,杭萧钢构,神思电子,罗普特,钱江摩托,寒武纪-U
43,2023-02-10,海天瑞声,汉王科技,赛为智能,恒久科技,鸿博股份,初灵信息,拓尔思,铜牛信息,天娱数科,科大国创,昆仑万维,景嘉微,泰永长征,科大讯飞,福石控股,罗普特,三六零,绿的谐波,寒武纪-U,神思电子
44,2023-02-13,海天瑞声,汉王科技,鸿博股份,拓尔思,恒久科技,初灵信息,赛为智能,昆仑万维,天娱数科,铜牛信息,景嘉微,寒武纪-U,科大国创,罗普特,三六零,神思电子,东软载波,科大讯飞,浪潮信息,福石控股
45,2023-02-14,海天瑞声,汉王科技,恒久科技,鸿博股份,初灵信息,拓尔思,赛为智能,昆仑万维,天娱数科,科大国创,景嘉微,铜牛信息,三六零,寒武纪-U,浪潮信息,泰永长征,利和兴,罗普特,万兴科技,东软载波
46,2023-02-15,海天瑞声,初灵信息,汉王科技,鸿博股份,恒久科技,拓尔思,赛为智能,昆仑万维,科大国创,三六零,天娱数科,浪潮信息,铜牛信息,万兴科技,景嘉微,寒武纪-U,因赛集团,利和兴,东港股份,科大讯飞
47,2023-02-16,海天瑞声,鸿博股份,汉王科技,初灵信息,拓尔思,昆仑万维,赛为智能,万兴科技,天娱数科,浪潮信息,恒久科技,三六零,宁夏建材,科大国创,景嘉微,铜牛信息,科大讯飞,寒武纪-U,汤姆猫,因赛集团
48,2023-02-17,海天瑞声,汉王科技,鸿博股份,初灵信息,拓尔思,赛为智能,天娱数科,恒久科技,万兴科技,浪潮信息,昆仑万维,汤姆猫,因赛集团,三六零,科大国创,寒武纪-U,铜牛信息,景嘉微,科大讯飞,蓝海华腾
49,2023-02-20,海天瑞声,汉王科技,鸿博股份,拓尔思,初灵信息,赛为智能,万兴科技,因赛集团,天娱数科,浪潮信息,昆仑万维,三六零,汤姆猫,恒久科技,蓝海华腾,铜牛信息,科大讯飞,福石控股,拓维信息,科大国创
50,2023-02-21,海天瑞声,汉王科技,鸿博股份,赛为智能,初灵信息,三六零,拓尔思,万兴科技,因赛集团,天娱数科,昆仑万维,浪潮信息,汤姆猫,寒武纪-U,铜牛信息,蓝海华腾,福石控股,科大讯飞,中文在线,科大国创
51,2023-02-22,海天瑞声,鸿博股份,汉王科技,拓尔思,初灵信息,因赛集团,赛为智能,三六零,万兴科技,浪潮信息,昆仑万维,天娱数科,汤姆猫,拓维信息,蓝海华腾,寒武纪-U,铜牛信息,科大讯飞,科大国创,华正新材
52,2023-02-23,海天瑞声,鸿博股份,汉王科技,拓尔思,初灵信息,赛为智能,因赛集团,三六零,天娱数科,浪潮信息,万兴科技,汤姆猫,昆仑万维,蓝海华腾,华正新材,寒武纪-U,大豪科技,铜牛信息,中文在线,科大国创
53,2023-02-24,海天瑞声,鸿博股份,汉王科技,拓尔思,三六零,初灵信息,浪潮信息,因赛集团,汤姆猫,赛为智能,万兴科技,天娱数科,昆仑万维,寒武纪-U,拓维信息,蓝海华腾,华正新材,科大国创,冰川网络,铜牛信息
54,2023-02-27,海天瑞声,鸿博股份,汉王科技,初灵信息,浪潮信息,三六零,拓维信息,汤姆猫,拓尔思,蓝海华腾,因赛集团,昆仑万维,天娱数科,寒武纪-U,华电重工,中科曙光,赛为智能,华正新材,三美股份,海兴电力
55,2023-02-28,海天瑞声,鸿博股份,汉王科技,浪潮信息,初灵信息,三六零,拓维信息,拓尔思,汤姆猫,因赛集团,天娱数科,蓝海华腾,昆仑万维,寒武纪-U,华电重工,中科曙光,铜牛信息,科大国创,众合科技,华正新材
56,2023-03-01,海天瑞声,鸿博股份,浪潮信息,汉王科技,三六零,昆仑万维,拓维信息,汤姆猫,因赛集团,寒武纪-U,中科曙光,博汇科技,初灵信息,华正新材,万兴科技,数码视讯,科大国创,众合科技,拓尔思,博彦科技
57,2023-03-02,海天瑞声,鸿博股份,浪潮信息,汤姆猫,三六零,汉王科技,因赛集团,拓维信息,拓尔思,万兴科技,昆仑万维,中科曙光,天娱数科,博彦科技,华电重工,铜牛信息,科大国创,寒武纪-U,神州泰岳,同方股份
58,2023-03-03,鸿博股份,海天瑞声,汤姆猫,三六零,浪潮信息,拓维信息,万兴科技,博彦科技,华电重工,因赛集团,昆仑万维,拓尔思,汉王科技,中科曙光,寒武纪-U,蓝海华腾,同方股份,徐工机械,上海沪工,神州泰岳
59,2023-03-06,鸿博股份,汤姆猫,三六零,拓维信息,海天瑞声,浪潮信息,万兴科技,华电重工,中科曙光,博彦科技,因赛集团,黑芝麻,中国科传,昆仑万维,蓝海华腾,寒武纪-U,徐工机械,宁夏建材,冰川网络,上海沪工
60,2023-03-07,鸿博股份,汤姆猫,拓维信息,三六零,万兴科技,浪潮信息,华电重工,蓝科高新,海天瑞声,中国科传,金桥信息,中科曙光,拓尔思,黑芝麻,因赛集团,宁夏建材,徐工机械,蓝海华腾,三美股份,昆仑万维
61,2023-03-08,汤姆猫,鸿博股份,拓维信息,万兴科技,三六零,浪潮信息,中科曙光,华电重工,金桥信息,博彦科技,宁夏建材,徐工机械,中国科传,罗普特,硕贝德,迪普科技,普天科技,蓝海华腾,冰川网络,云赛智联
62,2023-03-09,汤姆猫,拓维信息,万兴科技,鸿博股份,神宇股份,华电重工,蕾奥规划,金桥信息,中科曙光,中铁装配,徐工机械,上海电影,拓尔思,宁夏建材,博彦科技,冰川网络,蓝海华腾,因赛集团,普天科技,三美股份
63,2023-03-10,汤姆猫,蕾奥规划,万兴科技,易华录,恒久科技,拓维信息,上海电影,冰川网络,彩讯股份,神宇股份,中科曙光,拓荆科技,新莱应材,博汇科技,云赛智联,恒锋信息,徐工机械,芯源微,金桥信息,华电重工
64,2023-03-13,汤姆猫,万兴科技,彩讯股份,恒久科技,蕾奥规划,亚信安全,拓维信息,数字认证,易华录,云赛智联,上海电影,三六零,金桥信息,冰川网络,中科曙光,数字政通,中国石化,神宇股份,深桑达A,普天科技
65,2023-03-14,汤姆猫,万兴科技,彩讯股份,深桑达A,晓程科技,云赛智联,金桥信息,恒久科技,易华录,北方国际,新莱应材,太极股份,三人行,金力泰,上海电影,亚信安全,拓维信息,数字认证,上海沪工,山大地纬
66,2023-03-15,汤姆猫,北方国际,金力泰,恒久科技,万兴科技,彩讯股份,上海电影,中国中铁,深桑达A,中国交建,康强电子,嘉友国际,蕾奥规划,晓程科技,龙建股份,亚翔集成,亚信安全,山大地纬,新华网,中国石化
67,2023-03-16,北方国际,汤姆猫,万兴科技,金力泰,恒久科技,龙建股份,蓝色光标,晓程科技,亚翔集成,上海电影,新华网,数字认证,中国交建,彩讯股份,中国中铁,寒武纪-U,深桑达A,蕾奥规划,康强电子,三人行
68,2023-03-17,北方国际,彩讯股份,蓝色光标,寒武纪-U,龙建股份,万兴科技,罗普特,汤姆猫,恒久科技,深桑达A,新华网,云赛智联,晓程科技,易华录,宝通科技,中国交建,三六零,金力泰,盛天网络,张江高科
69,2023-03-20,北方国际,寒武纪-U,龙建股份,彩讯股份,蓝色光标,晓程科技,张江高科,上海电影,罗普特,宝通科技,汤姆猫,盛天网络,三人行,万兴科技,恒久科技,深桑达A,百纳千成,中工国际,姚记科技,芯原股份
70,2023-03-21,北方国际,寒武纪-U,百纳千成,彩讯股份,盛天网络,蓝色光标,上海电影,汤姆猫,姚记科技,罗普特,张江高科,龙建股份,宝通科技,三人行,神州泰岳,晓程科技,中工国际,万兴科技,恒久科技,山大地纬
71,2023-03-22,寒武纪-U,百纳千成,上海电影,彩讯股份,北方国际,蓝色光标,盛天网络,汤姆猫,昆仑万维,姚记科技,万兴科技,宝通科技,张江高科,罗普特,神州泰岳,三人行,山大地纬,顺网科技,富春股份,博汇科技
72,2023-03-23,寒武纪-U,上海电影,彩讯股份,北方国际,蓝色光标,昆仑万维,芯原股份,百纳千成,汤姆猫,万兴科技,盛天网络,姚记科技,深桑达A,张江高科,金桥信息,同花顺,宝通科技,罗普特,山大地纬,三人行
73,2023-03-24,寒武纪-U,昆仑万维,彩讯股份,蓝色光标,上海电影,盛天网络,万兴科技,北方国际,汤姆猫,景嘉微,姚记科技,芯原股份,百纳千成,宝通科技,同花顺,张江高科,中文在线,三六零,神州泰岳,易华录
74,2023-03-27,寒武纪-U,昆仑万维,上海电影,盛天网络,万兴科技,蓝色光标,汤姆猫,彩讯股份,景嘉微,中文在线,三六零,北方国际,同花顺,芯原股份,神州泰岳,晶瑞电材,东方国信,易华录,姚记科技,常山北明
75,2023-03-28,寒武纪-U,盛天网络,中文在线,昆仑万维,上海电影,易华录,万兴科技,蓝色光标,北方国际,三六零,汤姆猫,景嘉微,晶瑞电材,同花顺,姚记科技,芯原股份,常山北明,拓维信息,彩讯股份,张江高科
76,2023-03-29,寒武纪-U,上海电影,盛天网络,中文在线,汤姆猫,北方国际,昆仑万维,万兴科技,晶瑞电材,景嘉微,三人行,三六零,姚记科技,拓维信息,同花顺,蓝色光标,易华录,彩讯股份,芯原股份,常山北明
77,2023-03-30,寒武纪-U,上海电影,中文在线,盛天网络,昆仑万维,景嘉微,三六零,北方国际,姚记科技,东方国信,晶瑞电材,蓝色光标,拓维信息,芯原股份,同花顺,彩讯股份,百纳千成,金桥信息,易华录,万兴科技
78,2023-03-31,寒武纪-U,上海电影,昆仑万维,中文在线,盛天网络,同花顺,蓝色光标,景嘉微,姚记科技,金桥信息,东方国信,三六零,芯原股份,彩讯股份,易华录,四川长虹,北方国际,百纳千成,神州泰岳,晶瑞电材
79,2023-04-03,寒武纪-U,昆仑万维,上海电影,中文在线,同花顺,景嘉微,盛天网络,蓝色光标,三六零,富春股份,神州泰岳,芯原股份,四川长虹,金桥信息,东方国信,易华录,姚记科技,彩讯股份,百纳千成,软通动力
80,2023-04-04,寒武纪-U,昆仑万维,上海电影,同花顺,易华录,三六零,景嘉微,盛天网络,中文在线,神州泰岳,芯原股份,富春股份,美亚柏科,姚记科技,蓝色光标,四川长虹,百纳千成,东方国信,北方国际,世纪华通
81,2023-04-06,寒武纪-U,昆仑万维,上海电影,同花顺,富春股份,景嘉微,美亚柏科,易华录,山大地纬,三六零,全志科技,姚记科技,盛天网络,神州泰岳,深科技,四川长虹,中文在线,蓝色光标,芯原股份,首都在线
82,2023-04-07,寒武纪-U,昆仑万维,上海电影,中文在线,同花顺,神州泰岳,山大地纬,富春股份,景嘉微,盛天网络,易华录,姚记科技,三六零,芯原股份,美亚柏科,全志科技,金桥信息,新华网,恺英网络,万达信息
83,2023-04-10,寒武纪-U,上海电影,昆仑万维,中文在线,神州泰岳,金桥信息,同花顺,盛天网络,姚记科技,富春股份,新华网,深科技,山大地纬,恺英网络,三六零,华工科技,景嘉微,全志科技,和林微纳,世纪华通
84,2023-04-11,上海电影,中文在线,寒武纪-U,昆仑万维,姚记科技,神州泰岳,金桥信息,盛天网络,新华网,同花顺,富春股份,美亚柏科,首都在线,奥飞娱乐,深科技,恺英网络,百纳千成,世纪华通,山大地纬,中远海科
85,2023-04-12,上海电影,中文在线,昆仑万维,寒武纪-U,富春股份,神州泰岳,姚记科技,奥飞娱乐,盛天网络,同花顺,首都在线,金桥信息,新华网,恺英网络,百纳千成,世纪华通,冰川网络,光线传媒,中国科传,美亚柏科
86,2023-04-13,上海电影,中文在线,昆仑万维,奥飞娱乐,盛天网络,姚记科技,富春股份,神州泰岳,寒武纪-U,中国科传,金桥信息,百纳千成,博汇科技,同花顺,冰川网络,新华网,美亚柏科,恺英网络,曲江文旅,首都在线
87,2023-04-14,上海电影,中文在线,中国科传,寒武纪-U,神州泰岳,昆仑万维,富春股份,姚记科技,奥飞娱乐,盛天网络,百纳千成,曲江文旅,博汇科技,同花顺,精测电子,冰川网络,金桥信息,美亚柏科,恺英网络,富信科技
88,2023-04-17,上海电影,中文在线,昆仑万维,富春股份,中国科传,姚记科技,神州泰岳,寒武纪-U,奥飞娱乐,百纳千成,拓荆科技,同花顺,博汇科技,卓然股份,金桥信息,曲江文旅,深科技,中微公司,盛天网络,小商品城
89,2023-04-18,上海电影,中文在线,昆仑万维,中国科传,曲江文旅,精测电子,奥飞娱乐,神州泰岳,姚记科技,卓然股份,拓荆科技,美亚柏科,金桥信息,博汇科技,电魂网络,深科技,华工科技,冰川网络,易华录,小商品城
90,2023-04-19,上海电影,中文在线,中国科传,曲江文旅,昆仑万维,寒武纪-U,精测电子,电魂网络,拓荆科技,卓然股份,英杰电气,美亚柏科,中科信息,富信科技,金桥信息,富春股份,奥飞娱乐,易华录,冰川网络,景嘉微
91,2023-04-20,上海电影,中国科传,中文在线,电魂网络,精测电子,寒武纪-U,神州泰岳,昆仑万维,拓荆科技,中科信息,英杰电气,慈文传媒,卓然股份,曲江文旅,首都在线,深科技,美亚柏科,奥飞娱乐,同花顺,芯源微
92,2023-04-21,中国科传,上海电影,精测电子,电魂网络,中文在线,中科信息,万兴科技,慈文传媒,冰川网络,英杰电气,神州泰岳,卓然股份,华工科技,昆仑万维,寒武纪-U,曲江文旅,拓荆科技,永鼎股份,深科技,新华网
93,2023-04-24,中国科传,上海电影,电魂网络,精测电子,中科信息,慈文传媒,卓然股份,永鼎股份,冰川网络,华工科技,万兴科技,拓荆科技,英杰电气,神州泰岳,曲江文旅,芯源微,游族网络,小商品城,中微公司,思美传媒
94,2023-04-25,中国科传,中科信息,上海电影,电魂网络,精测电子,万兴科技,唐德影视,卓然股份,慈文传媒,神州泰岳,冰川网络,游族网络,拓荆科技,永鼎股份,中科曙光,奥飞娱乐,英杰电气,盛天网络,芯源微,恺英网络
95,2023-04-26,中国科传,中科信息,上海电影,唐德影视,万兴科技,电魂网络,神州泰岳,冰川网络,慈文传媒,精测电子,卓然股份,游族网络,永鼎股份,昆仑万维,奥飞娱乐,拓荆科技,思美传媒,盛天网络,星辉娱乐,小商品城
96,2023-04-27,中国科传,中科信息,上海电影,唐德影视,游族网络,万兴科技,电魂网络,精测电子,慈文传媒,小商品城,神州泰岳,昆仑万维,英杰电气,卓然股份,冰川网络,拓荆科技,永鼎股份,天舟文化,思美传媒,盛天网络
97,2023-04-28,中科信息,中国科传,唐德影视,万兴科技,上海电影,冰川网络,游族网络,昆仑万维,电魂网络,神州泰岳,小商品城,精测电子,天舟文化,盛天网络,思美传媒,慈文传媒,蓝色光标,奥飞娱乐,卓然股份,宝通科技
98,2023-05-04,中科信息,中国科传,唐德影视,万兴科技,上海电影,冰川网络,天舟文化,游族网络,电魂网络,小商品城,掌趣科技,思美传媒,奥飞娱乐,神州泰岳,中文传媒,慈文传媒,永鼎股份,星辉娱乐,精测电子,川网传媒
99,2023-05-05,中国科传,中科信息,唐德影视,冰川网络,上海电影,万兴科技,小商品城,游族网络,天舟文化,奥飞娱乐,思美传媒,电魂网络,掌趣科技,精测电子,中铁装配,皖新传媒,蓝色光标,金鹰重工,中文传媒,中瓷电子
